1.406366018764502712e+02,3.900301192082860524e+01
1.406415569179970646e+02,3.899844474842618780e+01
1.406189949029623847e+02,3.900102398309586960e+01
1.406292756672992823e+02,3.898945188796769656e+01
1.406477477607795379e+02,3.899448369588616714e+01
1.406423899948221958e+02,3.898331360052650751e+01
1.406199533834019348e+02,3.899015694474502425e+01
1.406285867018832505e+02,3.900184980747972219e+01
1.406333415795866131e+02,3.899529927809638963e+01
1.406235764753026842e+02,3.899603380972074262e+01
1.406251729667303039e+02,3.898347229230000011e+01
1.406477622699550807e+02,3.900209946118978621e+01
1.406398886118082316e+02,3.899093558585476416e+01
1.406347876962986163e+02,3.898262623546382599e+01
1.406476691882335501e+02,3.898750018430330755e+01
